,Name,Dialog,Character_1,Character_2,Character_3,Background,BackgroundSound,ConversationalVoice
20,,那就是和现在一样了,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
21,,要么你找我，要不我找你,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
22,,我伸出手，触摸眼前的风。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
23,,即使我们身处异地，但仍在同一片天空下，感受着相同的风,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
24,,我相信你,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
25,,……,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
26,岚,好,"(CharacterId=""Lan"",CurrentSprite=Texture2D'/Game/Assets/VerticalPainting/Lan/arashi_pose01_relaxed_base_noface.arashi_pose01_relaxed_base_noface',Face=None,Position=Inherit,Transition=Inherit,bKeepPrevious=True,bHide=False,bMirror=False,ZOrder=0)",,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,/Game/Assets/Audio/ConversationalVoice/053_好.053_好
27,,许久后，岚才轻声回应。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
28,,少女拍了拍柔嫩的脸颊，让自己保持清醒，也让自己鼓起勇气。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
29,,窗外是布满阴云的天空，,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
30,,窗内是挑灯夜读的少女。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
31,,对于镇上的人来说，中考并不是那么重要的事情。他们中的大部分人最终是要去到镇上的高中的，而那个高中不是特别的好，自然门槛不是很高，所以摆烂就是了。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
32,,但岚不一样，她的目标是我这边的高中，自然不能懈怠。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
33,,经常半夜十一二点，我还在用手机给她讲解着题目，总结要考的知识点。长期如此，我的成绩也有点下滑，明明我也是今年中考。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
34,,今天就到这吧,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
35,,晚安啦月,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
36,,记得洗澡,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
37,,知道啦,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
38,,最近模考成绩有很大提升,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
39,,再接再厉,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
40,,我化妆了，好看吗,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
41,,你在我眼里永远是最美,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
42,,天气又开始热起来了,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
43,,嗯，我听到蝉鸣了,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
44,,夏天的声音在我的窗台回荡。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
45,,气温的升高，似乎是夏天来到的见面礼。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
46,,临近中考，人人都在抓紧复习，而燥热的天气更是加剧了几分焦虑。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
47,,快中考了，你要带书回去复习吗？,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
48,,我将头从书堆中抬起来，望向我的基友。  最近有点近视，又加上坐在了最后一排，我不得不带上了眼镜。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
49,,医生说让我少看点手机，,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
50,,开什么玩笑，怎么可能。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
51,,算了吧，得过且过,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
52,,我挠了挠头，接着又将头埋在书堆中。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
53,,你都算得过且过的话，那大多数人就是往火坑里跳了。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
54,,我侧过身，望着窗外柳絮飘摇的画面，岚的身影浮现在我的眼前。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
55,,不知何时，我的嘴角挂上了一丝微笑。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
56,,窗外的藤蔓肆意地生长着，走廊上无疑都是打闹的嬉戏声。太阳越发毒辣，人们打扮的越发清凉。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
57,,盛夏到了。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
58,,中考加油,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
59,,月你也是,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
60,,中考的前一个晚上，我们在电话里互相激励着。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
61,,复习的怎么样,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
62,,嗯嗯好好好啊啊啊啊,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
63,,……,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
64,,如果可以，我真想去替岚考。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
65,,休息一下吧，别把神经绷得太紧,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
66,,那我们来聊天吧,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
67,,对方放下了手中的书，轻歪过头，微笑看着我。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
68,,这还真是犯规啊。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
69,,最近我们班啊……,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
70,,听着温柔的声音在电话那头响起，我的思绪不知已经飘到何处去了。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
71,,月你在听吗,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
72,月,嗯,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
73,,我轻声回复。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
74,月,然后啊……就那样……,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
75,,考完后我们去旅行吧,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
76,,陪我再去一趟旧学校吧,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
77,,花又要开了,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
78,,"岚很喜欢这种漂亮的东西，过年时还给我送了她亲手做的书签——那是用蓝色的天鹅羽毛和丁香的花瓣制成的，下面还写着""新年快乐""四个字。",,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
79,,那轻飘的字迹，一看就是她的。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
80,,时至今日，我仿佛还被困在那个夏天。每次看见那个女孩的容貌时，总是不由得回想起那个皎月的吻和夕阳下的誓言。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
81,,即使唇边有些空荡，但偶尔也能回忆起那温热的味道。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
82,,月,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
83,,嗯,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
84,,月,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
85,,嗯,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
86,岚,就是想叫你,"(CharacterId=""Lan"",CurrentSprite=Texture2D'/Game/Assets/VerticalPainting/Lan/arashi_pose01_relaxed_base_noface.arashi_pose01_relaxed_base_noface',Face=None,Position=Inherit,Transition=Inherit,bKeepPrevious=True,bHide=False,bMirror=False,ZOrder=0)",,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,/Game/Assets/Audio/ConversationalVoice/054_就是想叫你.054_就是想叫你
87,,岚微笑着，怀里抱着手机，在床上翻来覆去，似乎在寻找一个舒服的姿势。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
88,岚,其实之前有人向我表白了,"(CharacterId=""Lan"",CurrentSprite=Texture2D'/Game/Assets/VerticalPainting/Lan/arashi_pose01_relaxed_base_noface.arashi_pose01_relaxed_base_noface',Face=None,Position=Inherit,Transition=Inherit,bKeepPrevious=True,bHide=False,bMirror=False,ZOrder=0)",,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,/Game/Assets/Audio/ConversationalVoice/055_其实之前有人向我表白了.055_其实之前有人向我表白了
89,,嗯？,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
90,,想什么呢，我当然拒绝了,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
91,,其实他人还挺好，就是有点凶，只能说不讨厌也不喜欢吧,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
92,,不怕我吃醋吗？,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
93,岚,说一下嘛,"(CharacterId=""Lan"",CurrentSprite=Texture2D'/Game/Assets/VerticalPainting/Lan/arashi_pose01_relaxed_base_noface.arashi_pose01_relaxed_base_noface',Face=None,Position=Inherit,Transition=Inherit,bKeepPrevious=True,bHide=False,bMirror=False,ZOrder=0)",,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,/Game/Assets/Audio/ConversationalVoice/056_说一下嘛.056_说一下嘛
94,,岚轻轻地咳嗽了一声，接着道：,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
95,岚,其实在这边我还是蛮受欢迎的,"(CharacterId=""Lan"",CurrentSprite=Texture2D'/Game/Assets/VerticalPainting/Lan/arashi_pose01_relaxed_base_noface.arashi_pose01_relaxed_base_noface',Face=None,Position=Inherit,Transition=Inherit,bKeepPrevious=True,bHide=False,bMirror=False,ZOrder=0)",,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,/Game/Assets/Audio/ConversationalVoice/057_其实在这边我还是蛮受欢迎的.057_其实在这边我还是蛮受欢迎的
96,,我骄傲的爱人，自然是人群中最耀眼的存在。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
97,,你说为什么男生的脸皮都这么厚呢？,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
98,,怎么感觉你在内涵我,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
99,,没有啦～,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
100,,偶尔，岚也会展现出腹黑的一面。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
101,,明天还得考试啊,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
102,,冲,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
103,,冲,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
104,,接着我挂断电话，放下手机去洗澡了。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
105,,回来的时候，手机里多了一条消息：,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
106,,我要来见你了,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
107,,阳光明媚，万里无云。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
108,,我们迎着耀眼的阳光，走进那个有些令人窒息的教室。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
109,,待到铃声响起，拔笔即战。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
110,,唯有苦战，,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
111,,唯有向前。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
112,,顺滑的笔尖流畅地从考卷上划过，仿佛预见过考题一般，写满是那么的容易。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
113,,我可以的，,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
114,,我可以做到的。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
115,,岚在心中默念。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
116,,即使或多或少有一些信心不足，她还是勇敢地迈出了脚步，如同死士一般冲向敌人。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
117,,唯有战死沙场。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
118,,叮铃铃～,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
119,,请同学们停止答题，全体起立,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
120,,放榜的那天，我意外的睡了个早床。醒来时发现我的电话都要被岚打爆了。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
121,,看这势头，那八成是考上了。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
122,,或多或少应该都有我熬夜辅导的成分在里面吧。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
123,,我如此想着，以后我们能够在彼此身边仰望天空，感受风的气息。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
124,,同岚分享过她的喜悦之后，我便投入了漫长的假期之中。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
125,,盛夏再一次到来。,,,,/Game/Assets/Background/Generated4K/09_memoriesoff1_fix_v2.09_memoriesoff1_fix_v2,,
